id,transaction
0,water bottle
0,pencil
0,headphones
0,pen
0,speakers
1,picture frame
1,shoes
1,seltzer
2,notebook
2,t-shirt
2,water bottle
3,body wash
4,sweater
4,jeans
4,pen
4,multivitamin
4,body wash
5,headphones
5,speakers
6,headphones
6,speakers
7,creamer
7,coffee
7,t-shirt
8,laptop
8,conditioner
9,headphones
9,speakers
9,laptop
10,seltzer
10,shampoo
10,conditioner
10,chair
11,novel
12,video game
12,socks
13,jeans
13,tooth brush
13,jacket
13,picture frame
14,floss
14,body wash
14,conditioner
14,tooth paste
15,guitar
15,jacket
15,jeans
15,tooth brush
16,body wash
16,coffee
16,t-shirt
16,chair
17,bananas
17,keyboard
17,floss
18,sweater
18,video game
18,headphones
19,jacket
19,jeans
19,speakers
