id,transaction
0,picture frame
1,coffee
1,creamer
2,shoes
2,t-shirt
2,jacket
2,socks
2,sweater
2,jeans
3,shampoo
3,conditioner
4,water bottle
4,socks
4,body wash
4,conditioner
5,tooth paste
5,multivitamin
6,shampoo
6,floss
6,conditioner
7,picture frame
8,notebook
8,pencil
9,shampoo
9,conditioner
9,bananas
9,floss
10,laptop
11,coffee
11,creamer
11,notebook
11,pencil
11,video game
12,novel
12,seltzer
12,guitar
13,keyboard
13,headphones
13,guitar
14,headphones
14,speakers
14,shoes
14,socks
15,socks
15,shoes
16,floss
16,tooth brush
17,multivitamin
18,bananas
18,picture frame
18,pen
19,notebook
19,chair
