id,transaction
0,picture frame
0,coffee
0,conditioner
1,seltzer
1,shampoo
2,jacket
2,video game
2,coffee
2,tooth brush
3,water bottle
3,notebook
3,tooth brush
3,chair
3,shoes
4,bananas
4,coffee
4,video game
5,coffee
5,conditioner
5,floss
5,shampoo
6,speakers
6,body wash
7,jeans
7,sweater
8,floss
8,picture frame
8,pen
8,pencil
8,creamer
8,novel
9,multivitamin
10,floss
10,tooth brush
11,coffee
11,water bottle
11,laptop
11,keyboard
12,socks
13,headphones
14,t-shirt
14,picture frame
14,t-shirt
15,floss
15,floss
15,t-shirt
15,speakers
16,shampoo
16,multivitamin
16,jeans
16,guitar
17,speakers
17,coffee
17,conditioner
17,floss
18,creamer
18,keyboard
18,picture frame
18,speakers
19,coffee
19,notebook
19,floss
19,tooth paste
